俗名,拉丁学名,中文学名,目,bio_introduction
霓虹虾虎,Elacatinus oceanops,佛罗里达霓虹鰕虎,鲈形目,从眼睛前面到尾鳍末端的铁青色斑纹。  在每个眼之前的灰白斑纹， 不达到吻尖。
面具虾虎,Coryphopterus personatus,环肛鲯塘鳢,鲈形目,半透明的橘色灰色腹地背面颜色变化成紫罗兰色灰色; 2 扩散橘色的线在后部地从眼跑; 背鳍鳍条红色.
粉红雀,Ostracion whitleyi,惠氏箱鲀,鲈形目,unk
医生鱼,Labroides dimidiatus,裂唇鱼,鲈形目,时常在深水中有黄色的背面。   在侧联机的鳞片:  50-52(+2 越过尾下骨).
快闪龙,Paracheilinus filamentosus,月尾副唇鱼,鲈形目,边缘微凹的尾鳍在雄性中变成新月状; 雄性的 2-6 柔软背鳍鳍条非常延长;(奇数鳍条开始用第一个) 些微地可能是在雌性延长;(不如此在菲律宾的雌性成鱼) 非丝状的鳍条大约长度相等.  管状的肉梗鳞片 5.9; 身体侧边有四个或五条狭窄的红色到蓝色的斑纹， 只有第一个与身体的第三个延伸全长.
红鹦鹉,Cirrhilabrus lubbocki,卢氏丝隆头鱼,鲈形目,可变的颜色从桃红色的到鲜红色或紫色与背鳍时常鲜黄色的当成鱼时.
豹龙,Macropharyngodon meleagris,珠斑大咽齿鱼,鲈形目,颜色活着时微白色的幼鱼与雌性到呈绿色的有不规则的黑色斑点; 雄性橘红色的具有黄绿色的斑点;(边缘是蓝色与黑色的， 每鳞片) 头部有斑点与有条纹的。  前面的侧线鳞片有 2-4 孔。  腹鳍短，不达到肛门。
五彩鹦鹉,Cirrhilabrus luteovittatus,黄环丝隆头鱼,鲈形目,这种的最初阶段是橘红色的变成几乎腹侧白色。
黄鳍鹦鹉,Cirrhilabrus flavidorsalis,黄背丝隆头鱼,鲈形目,雄性高变异的颜色以背鳍颜色从全黄的对红色或蓝色 ， 与来自红色到粉红色或白色的身体， 依据心情与阶段而定.
长鳍鹦鹉,Cirrhilabrus rubriventralis,红腹丝隆头鱼,鲈形目,"

The longfin fairy wrasse (Cirrhilabrus rubriventralis) also known as the social wrasse, is a species of wrasse from the western Indian Ocean from the Red Sea to South Africa, though questionable claims have been made for its occurrence out to the western Pacific.  It inhabits coral reefs at depths of 3 to 43 m (9.8 to 141.1 ft).  This species can reach a total length of 7.5 cm (3.0 in).  It can be found in the aquarium trade.[2]

There is another species referred to as the social wrasse, Halichoeres socialis, found only in the Pelican Keys in Belize. It is critically endangered.[3]



This Labridae article is a stub. You can help Wikipedia by expanding it."
斑点鹦鹉,Cirrhilabrus punctatus,大斑丝隆头鱼,鲈形目,在雄鱼的腹鳍非常长的， 时常标准长度的一半或更多。  与粉红色到蓝色的点，下面四分之一白色的上面身体中的四分之三 ， 深灰色到淡红的; 在胸鳍的基底的一个黑色的斑点; 母鱼与稚鱼在上面的尾鳍基底具有一个黑色的斑点。
丽鹦鹉,Cirrhilabrus exquisitus,艳丽丝隆头鱼,鲈形目,大的椭圆形的黑色斑点在尾梗上在侧线的正上方.  一个近亲的未描述的种出现于西太平洋与中太平洋中; 不同之处为颜色， 最大的在求偶的雄性之间.
丝绒狐,Pseudocheilinus evanidus,姬拟唇鱼,鲈形目,身体红色到橘红色的有大约 25 细白的纵向线; 从嘴巴的角落到前鳃盖骨的几乎上面角落的蓝灰色到蓝白色的条纹。  中断的侧线， 前面的管状鳞片 14-17.(典型地 16)  在颊上的鳞片，2 水平的列 (3 前面地).
红丝绒鹦鹉,Cirrhilabrus rubrisquamis,红鳞丝隆头鱼,鲈形目,"

The rosy-scales fairy-wrasse (Cirrhilabrus rubrisquamis), also known as the red velvet fairy wrasse, is a species of wrasse native to the Chagos Archipelago in the Indian Ocean.[2] It is found at mesophotic reefs at depths between 41 and 70 m (135–230 ft).[2][3]

C. rubrisquamis can reach a standard length of 7.2 cm (2.8 in).[3] It is considered data deficient by the IUCN,[1] and is generally very poorly know, but it is possible that the similar C. wakanda (described as a new species from coastal East Africa in 2019) is a junior synonym of C. rubrisquamis.[2] Conversely, C. rubrisquamis was formerly considered to occur in the Maldives and Sri Lanka, but in 2022 this population was described as a new species C. finifenmaa.[2]



This Labridae article is a stub. You can help Wikipedia by expanding it."
斯科特鹦鹉,Cirrhilabrus scottorum,暗丝隆头鱼,鲈形目,身体在后部地是绿色的 ， 颜色变化成暗色的蓝绿色在中央中， 与到淡蓝色-绿色前面地与在头部的眼眶后部分上; 身体的下面四分之一淡红色; 眼眶后的头部与身体的前面上半部有黑色的细斑点; 吻黄绿色的。
青花龙,Thalassoma lutescens,胸斑锦鱼,鲈形目,身体没有纵向的斑纹。  初期阶段身体黄色的有淡的垂直红色的线。  最后阶段身体突然蓝色到蓝绿色在后粉红与绿色的头部。  在身体上的淡红的垂直线。  末梢部地  的胸鳍黄色的基部一半又蓝色到黑色.
尖嘴龙,Gomphosus varius,杂色尖嘴鱼,鲈形目,鉴定特徵为长的吻当成熟的时候而且藉着区别了来自它的同源鱼种  G. caeruleus 的颜色或地理学。   小的稚鱼缺乏延长的吻部。
角龙,Novaculichthys taeniourus,带尾美鳍鱼,鲈形目,稚鱼有长的扩大背鳍棘。
台湾龙,Coris formosa,红尾盔鱼,鲈形目,最后阶段的雄鱼淡红的到淡紫色的颜色; 尾鳍有小的，黑色边的，和蓝绿色斑点，后缘淡的橘红色的.  稚鱼橘色的， 头部与身体下半部深褐色的; 3 大的，细长垂直的，和明显黑色的-边缘， 白色的斑点在身体的背部部份上 (. 参考文献 4392)
绿龙,Halichoeres chloropterus,绿鳍海猪鱼,鲈形目,通常在藻类栖息地的明亮绿色， 但是在单色的碎石上的灰白或有纵向的深色条纹.  雄鱼头部有复杂的从一个个体到另外的改变的条纹的网状图案; 在肛门上的小的黑色斑点。  稚鱼背面而且在后部地而雌鱼有深色的点; 这些在雄性被失去。  前面的侧线鳞片有 1-3个孔; 8-13个眶下的孔。  前面的背鳍与臀鳍软鳍条长度超过在后部的鳍条; 雄鱼腹鳍不达到肛门。
六间龙,Thalassoma hardwicke,鞍斑锦鱼,鲈形目,彩色斑纹随着成长以超过初期的雄鱼变得俗丽的末期的雄鱼保持相似。   灰绿色 6 深色的横带， 最后两个在尾部之上呈鞍状。  头部有在大的成鱼中从眼放射的粉红的条纹。
青衣龙（锦衣卫）,Thalassoma lunare,新月锦鱼,鲈形目,成鱼被鉴别特徵为黄色的新月状的尾部。  大的雄性呈蓝色的头部颜色渐层变化成对于尾部的绿色.  身体深绿色的到蓝色有垂直的红色到带紫色的红色线。  头部绿色到蓝色有不规则的粉红色到紫罗兰色的条纹。  在尾鳍后部成鱼有大的黄色新月，而且蓝色末梢部地胸鳍有一个大的细长粉红的区域。  在尾鳍基底  的背鳍中央与一个大的扩散黑色的斑点中稚鱼有一个大的深色斑点。
双印龙,Coris aygula,鳃斑盔鱼,鲈形目,尾鳍在雌性中略圆的， 截形而且有丝状的鳍条在大的雄性中; 雄性的腹鳍非常长的。  大的雄性也变成全身深绿色而且发育一个隆起的前额与一根细长的第一背鳍棘。   稚鱼有明显的被遮蔽的假眼橘色的.
黄龙,Halichoeres chrysus,金色海猪鱼,鲈形目,活着时， 身体鲜黄色的， 头部与胸橘黄色的; 在眼后面的一个斑点; 头部有不规则的淡绿色的条纹。  雄鱼的背鳍在第一个棘间膜具有一个大的黑色又边缘白色的斑点;(另一个斑点为较小的雄性可能在第二与第三个鳍条之间的柔软部位上出现) 雌性具有一个第二的黑色， 淡黄色的-镶边了斑点; 较小的雌鱼而且在倒数第二的薄膜上稚鱼有一个第三个黑色的斑点。  前面的侧线鳞片有 2-4 孔; 6-12个眶下的孔。  腹鳍不达到肛门。
紫面龙,Thalassoma quinquevittatum,纵纹锦鱼,鲈形目,雄性显现色彩艳丽的颜色，红色的线变成紫色与时常腹部鲜黄色的.  在背部一半的身体上的二条不平坦的红色斑纹，1 在上尾部的叶之上从下方背鳍起点， 来自胸鳍上方基底到尾柄的另一个。  胸鳍有绿色的基底与深色的胸鳍  。
闪电龙,Halichoeres cyanocephalus,蓝首海猪鱼,鲈形目,稚鱼与雌性黄色的有宽的蓝色从眼到尾鳍中心鳍的斑纹。  在加勒比海的唯一的  Halichoeres 种具有 12个背鳍鳍条， 全部另外地有 11.  在身体的上半部上成鱼有一条宽的黑色斑纹; 当它在尾鳍的中央中向后到末端的时候，狭窄的; 身体的下半部浅蓝绿色的; 在嘴的水平之下的头部蓝绿色， 在黄色之上.
鞍背龙,Thalassoma jansenii,詹氏锦鱼,鲈形目,彩色斑纹保持相似整个生命期。  大的稚鱼与雌性是大部份在头部到肛门之下黑色的有一条白色的条纹与白色的区域。  雄性保有白色的中央条纹但是向头部更黄色， 而且半路地发育一个第二个狭带状.  初期阶段白色的有 3条黑色的横带， 第一个在鳃盖的边缘包含一个黄色的条纹的头部与前面的身体上半部上， 横过背鳍的第二个与腹地对肛门， 第三个覆盖大部分的身体与背鳍与臀鳍的在后部部分。 末期的雄鱼在黑色的横带之间有黄色的。  胸鳍蓝色的 .
蓝纹狐,Anampses femininus,蓝带阿南鱼,鲈形目,"

Anampses femininus, the blue-striped orange tamarin, is a species of fish found in the Pacific Ocean including Australia and from New Caledonia to Easter Island.[2]

This species reaches a length of 24.0 cm (9.4 in).[3]



This Labridae article is a stub. You can help Wikipedia by expanding it."
橙线龙,Halichoeres melanurus,黑尾海猪鱼,鲈形目,在雄鱼身体上的斑纹蓝绿色而橘色的活着时， 前面地变成浅橙色到粉红色与绿色; 一个深色的斑点在后眼被包在在后部地分叉的一条褐色条纹了。  在背鳍的第一棘间膜上雌鱼有一个小的黑色斑点， 在第二到第三软鳍条之间的另外一; 在上面的尾鳍基底的一个斑点。  前面的侧线鳞片有 1 - 4 孔。 (通常 2)  延伸到的雄性的腹鳍或超过肛门。
黄紫龙,Halichoeres trispilus,三点海猪鱼,鲈形目,几乎在头部上白色的有一些黑色的斑点或线。
黄胸莺鲷,Anampses twistii,星阿南鱼,鲈形目,身体褐色，在后部地颜色变化成黄色的腹部，胸与头部下半部 ， 与到淡红的; 淡红的唇; 鳃盖有一个大的黑色斑点后面， 一个绿色的斑点紧邻这上面，而且在此之上是一个红色的斑点。  胸鳍基底具有一个深褐色的横带。  背棘尖锐的。
环纹鹦鹉,Cirrhilabrus balteatus,环纹丝隆头鱼,鲈形目,雌性是几乎与  C. luteovittatus 完全相同， 雄鱼有非常长的腹鳍.
豹鳚,Exallias brevis,短豹鳚,鲈形目,在上嘴唇上的很多的乳突， 比较小的与更多间隔很密的斑点。  颈背的触须:  30- 36.
线纹鳚,Ecsenius lineatus,线纹异齿鳚,鲈形目,只在后缘上前鼻孔有一个长的卷须。  在身体上的一条纵向的深色斑纹时常在较大的标本中中断。  在一些族群，黑色的侧面斑纹有时候有如一系列的斑块 (在印度尼西亚没有被观察到) 。
班节鳚,Salarias segmentatus,薄凤鳚,鲈形目,鉴定特徵为红色的斑点整个背部与对于尾部的侧边了， 与大的胸部斑点.
万那度鳚（虾虎）,Cirripectes stigmaticus,点斑穗肩鳚,鲈形目,头部与身体成网状; 虹膜有黄色环的瞳孔。  没有鳞片。  触须，眶上的 7-22， 鼻骨 8-29; 颈背的 34-47， 在 4个群，最下面的群些微地长在上在两边上扩大颈背盖。  背鳍最后硬棘上方深锯齿状的。  头部的孔系统单一的; 在额外的眼间骨位置的没有孔; 一个孔在两边上出现在颈背盖后面。  大的个体深绿色侧边上在头部与垂直的条纹红色的斑点上黑色的有红色的斑点。
管鳚,Acanthemblemaria macrospilus,大斑棘胎鳚,鲈形目,"

Acanthemblemaria macrospilus, the barnacle blenny, is a species of chaenopsid blenny found in coral reefs in the eastern central Pacific ocean. It can reach a maximum length of 6 cm (2.4 in) TL. This species feeds primarily on zooplankton.[2]



This Chaenopsidae article is a stub. You can help Wikipedia by expanding it."
澳洲凤鳚,Salarias ramosus,澳洲凤鳚,鲈形目,在头部上的白色的衣饰上的绉边; 在背面上的深褐色的身体有很多的小珠色的斑点与少数白色的斑块.
马面鳚,Ophioblennius steindachneri,斯氏真蛇鳚,鲈形目,身体圆筒形的; 头部有在后颈之上的眼上面的触须而在前鼻孔的后缘; 上颌骨不是能伸展; 每个颌有一凿状牙齿的列; 肛门的与背鳍延长 ; 侧线分开成二， 独立又部分重迭的片段.
角鳚,Parablennius intermedius,间副鳚,鲈形目,"

Parablennius intermedius, the false Tasmanian blenny or horned blenny, is a species of combtooth blenny found in the Indian ocean near Australian coasts.  This species reaches a length of 12 centimetres (4.7 in) TL.[2]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
斑马鳚,Meiacanthus grammistes,黑带稀棘鳚,鲈形目,鉴定特徵为在尾鳍基底上的斑点中结束的身体上线图案。
金黄鳚,Ecsenius midas,金黄异齿鳚,鲈形目,金的橘色颜色; 肛门的周围黑色的斑点; 背鳍前部有狭窄的深色边。   印度尼西亚形成灰色或呈绿色到金黄色的。  尾部长的当成鱼时.
稀棘鳚,Meiacanthus atrodorsalis,金鳍稀棘鳚,鲈形目,鉴定特徵为边缘蓝色的斜黑色的线从眼与黄色的背鳍或背面了。  在尾鳍顶端上成鱼有长的丝状突起; 没有丝状突起的长度.
黄鸳鸯,Meiacanthus oualanensis,黄身稀棘鳚,鲈形目,"

Meiacanthus oualanensis, the canary fangblenny, is a blenny from the Western Central Pacific where it is only known from Fiji.  This species grows to a length of 5 centimetres (2.0 in) SL.[2]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
琴尾鸳鸯,Meiacanthus mossambicus,莫三比克稀棘鳚,鲈形目,"

Meiacanthus mossambicus, the Mozambique fangblenny, is a species of combtooth blenny found in coral reefs in the western Indian Ocean where it is known to occur off the coast of eastern Africa as well as Madagascar and the Comoro Islands.  This species grows to a length of 10 centimetres (3.9 in) TL.  This species is also found in the aquarium trade.[2]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
西瓜刨,Salarias fasciatus,细纹凤鳚,鲈形目,很多的灰白斑点， 深色条纹前面地， 与一些暗色的条纹.
双色鳚,Ecsenius bicolor,二色异齿鳚,鲈形目,有三个色相:  一黑色前面地与黄色的在后部地 (双色相) ，另一个黑色背面具有一个宽的白色侧面的条纹，而且暗色的腹面具有或者没有黄色的尾部。
子弹虾虎,Amblygobius semicinctus,半带钝鰕虎,鲈形目,"

Gobius semicinctus Bennett, 1833

Amblygobius semicinctus, the halfbarred goby , is a species of goby from family Gobiidae.

The Halfbarred goby is a small fish which can reach a length of 11 centimetres (4.3 in) TL.[1] Its background body colour is greenish brown with a kind of complex pattern of red-brown longitudinal lines running along the body and spots on the head. A dark line starting from the snout passing through the eye and melt backside with the other longitudinal lines. The body is also marked with 4 to 6 vertical black bars, a dark ocellus on the first dorsal fin and on the operculum, and finally a dark spot on the superior part of the caudal fin.[2]

Amblyeleotris semicinctus is found in the western Indian Ocean from the Maldives to the eastern African coast. 
It likes sandy bottom in protected and shallow lagoons and bays. It lives usually in couple in a burrow dug under a rock or a piece of coral.[3]

This goby is an omnivorous fish which feeds by taking in mouthfuls of sand and sifting out algae, invertebrates and other organic matter.[4] The species is monogamous.[5]



This Gobiidae-related article is a stub. You can help Wikipedia by expanding it."
黑线虾虎,Valenciennea helsdingenii,双带凡塘鳢,鲈形目,"

Valenciennea helsdingenii is a species of goby from the Indo-Pacific. It is commonly known as the twostripe goby, black-lined sleeper goby, or railway sleeper goby. It can grow up to a length of 25 cm (9.8 in) and is distinguishable by two prominent orange to black lines running longitudinally through its body.

Twostripe gobies were first described by the Dutch ichthyologist Pieter Bleeker in 1858 as Eleotriodes helsdingenii. The type specimens were originally collected from Pulau-Pulau Gorong, Maluku, Indonesia. It belongs to the hover goby genus Valenciennea in the true goby family, Gobiidae.[2] The specific name honours the Dutch civil servant W. F. C. van Helsdingen, who provided Bleeker with a number of well-preserved fish specimens from the Gorong Archipelago in the Dutch East Indies, including the type specimen of this species.[3]

The body of twostripe gobies is elongated and laterally compressed.[4] They are commonly 18 cm (7.1 in) in length, with a maximum length of 25 cm (9.8 in).[2][5] The body is predominantly white to pale gray in color, with the dorsal surface a darker brownish gray. It has two prominent orange, dark red, reddish-brown, or black lines running longitudinally on the sides of its body, darkest at the anterior end and growing lighter towards the back. The upper line begins from the front of the snout, goes through the eye, and ends at the tip of the upper fork of the caudal fin. The lower line is parallel to the upper line and begins from the side of the upper lip, through the middle of the base of pectoral fins, and ends at the tip of the lower fork of the caudal fin. Both upper and lower lines are outlined in white at the caudal fin. A large oval black spot is also present between the third and fifth spines of the dorsal fin.[4]

The pelvic fins are completely separated, no membrane is present between the first and the second dorsal fins. The first dorsal fin is shallow and its margin rounded, and the fourth spine is slightly longer than the other spines.[4] The caudal fin in adults is deeply notched with two long filaments. Juveniles have more rounded caudal fins.[2]

Twostripe gobies are relatively rare. They usually occur in pairs, but can be found alone in silty flat sand patches or rubble substrates.[6] They are usually found on outer reefs at the bottom of coral or rocky dropoffs, rarely in lagoons. They feed on small digging (fossorial) organisms by sifting them from mouthfuls of sand.[7]

Eggs hatch two days after spawning and the larvae reach lengths of 5.25 mm (0.207 in) after 35 days.[7] Juveniles are usually found near rocks in clear estuaries.[2]

The fish is carnivore, feeding on small invertebrates.[6]

Twostripe gobies have a wide distribution range. They can be found in the temperate and tropical waters of the Indian Ocean and the western Pacific Ocean. From the coast of East Africa, the southern Red Sea, the Maldives, southeast India and Sri Lanka, Southeast Asia, Australia, western Oceania, and Japan.[2][4]
"
橙斑虾虎,Amblygobius decussatus,华丽钝鰕虎,鲈形目,"

Amblygobius decussatus, the orange-striped goby, is a species of goby native to tropical reefs in the western Pacific Ocean,[1] but may be widespread in the central Indo-Pacific area.  It prefers living on muddy substrates where it utilizes an invertebrate burrow for shelter.  It sifts through mouthfuls of sand, consuming organic matter and small invertebrates contained therein.  This species can reach a length of 9.5 centimetres (3.7 in) SL.[2]  It can also be found in the aquarium trade.[3]



This Gobiidae-related article is a stub. You can help Wikipedia by expanding it."
虎纹虾虎,Valenciennea wardii,鞍带凡塘鳢,鲈形目,"

Valenciennea wardii, Ward's sleeper, Ward's sleeper goby, is a species of goby native to the Indian Ocean and the western Pacific Ocean in bays, reefs and lagoons at depths of from 12 to 35 metres (39 to 115 ft).  It can be found on sandy or silty substrates.  This species can reach a length of 15 centimetres (5.9 in) SL.  It can also be found in the aquarium trade.[2] The specific name honours the United Kingdom diplomat Swinburne Ward (1830-1897) who was Her Majesty's Civil Commissioner for the Seychelles, although this species was described from specimens collected off Zanzibar.[3]



This Gobiidae-related article is a stub. You can help Wikipedia by expanding it."
四驱车,Signigobius biocellatus,双睛护稚鰕虎,鲈形目,显着的眼状背鳍。
蓝纹洞穴虾虎,Trimma tevegae,底斑磨塘鳢,鲈形目,在眼之下的 1-3 列的颊鳞片.
黄绿虾虎,Priolepis aureoviridis,黄绿锯鳞鰕虎,鲈形目,黄绿色的-橘色的有模糊的细深色的横带。
伪装虾虎,Coryphopterus personatus,环肛鲯塘鳢,鲈形目,半透明的橘色灰色腹地背面颜色变化成紫罗兰色灰色; 2 扩散橘色的线在后部地从眼跑; 背鳍鳍条红色.
金灯虾虎,Elacatinus horsti,黄线霓虹鰕虎,鲈形目,狭窄的白黄色或白色的线从眼到尾鳍基底延伸.  黑色， 颜色变化成微白色的腹地.
蓝灯虾虎,Elacatinus oceanops,佛罗里达霓虹鰕虎,鲈形目,从眼睛前面到尾鳍末端的铁青色斑纹。  在每个眼之前的灰白斑纹， 不达到吻尖。
红灯虾虎,Eviota pellucida,透体矶塘鳢,鲈形目,"

Eviota pellucida, commonly called neon pygmy goby or pellucida pygmy goby, is a species of marine fish in the family Gobiidae.

It reaches a maximum size of 21 millimetres (0.83 in) in length.[2] Its body is a transparent orange/red colour, with a yellow/gold line stretching from its head the base of its tail, one on its side stretching through its eye to 2/3 of the way down its body, and two lines over its head. All lines originate near the upper lip. A white line along the stomach is also present.

The Neon pygmy goby is widespread throughout the tropical waters of the Pacific Ocean and has been recorded from the Ryukyu Islands, Pohnpei, Guam, Marshall Islands and Abaiang Atoll in Kiribati records elsewhere represent Eviota atriventris.[3][4]

It can be found at depths of 3–30 metres (98 ft).[5]

Sticking to lagoonal areas with much shelter, these fishes are often found in groups, browsing for microinvertebrates (and seeking refuge) among the branches of small-polyped stony corals, as well as sometimes cleaning parasites and dead tissues from larger fish.

Occasionally making its way into the aquarium trade, this is a hardy little specimen. Its diet in captivity consists of small invertebrates including copepods and amphipod larvae, and they may occasionally be seen clearing other fish of parasites and dead tissues. They will sometimes accept pelleted foods and often frozen foods like mysis shrimp. An environment that is branchy or with many perches is most suitable, and SPS will often be enjoyed as a home. Macroalgaes and porous rock will provide much enjoyable browsing for these fish.



This Gobiidae-related article is a stub. You can help Wikipedia by expanding it."
蟋蟀（黄色种）,Gobiodon okinawae,黄体叶鰕虎,鲈形目,均匀柠檬的黄色在颊部上除了一个灰白的区域。
蟋蟀（柠檬色种）,Gobiodon citrinus,橙色叶鰕虎,鲈形目,"

Gobiodon citrinus, the poison goby, is a species of goby native to the Indian Ocean from the Red Sea and the coast of Africa to the western Pacific Ocean to Japan, Samoa and the Great Barrier Reef.  They are reef dwellers being found at depths of from 2 to 20 metres (7 to 66 ft) and in association with Acropora corals.  The mucus produced by this fish is toxic.  They grow to a length of 6.6 centimetres (2.6 in) TL. They have varied body colour and could be either dark brown, or pale yellow. They also have blue vertical lines that go around their eyes and gills.  This species is also found in the aquarium trade and has been reared in the aquarium.



This Gobiidae-related article is a stub. You can help Wikipedia by expanding it."
阿岛拟雀鲷,Pseudochromis aldabraensis,阿岛拟雀鲷,鲈形目,"

Pseudochromis aldabraensis, the orange dottyback, neon dottyback or Arabian dottyback, is a species of ray-finned fish from the family Pseudochromidae, the dottybacks. It is commonly kept in marine aquariums. [2]

Its natural range is in the western Indian Ocean around Aldabra, in the Gulf of Oman, the Persian Gulf as far east as India and Sri Lanka. It occurs on offshore coral and rocky reefs as deep as 25 metres (82 ft) where it is a secretive species which quickly hides if disturbed.[3]

It is the hardier of the non-tank raised pseudochromises. They prefer to stay at the bottom of the tank. They get along extremely well with blue damsels and other kinds of damselfish.[4] Otherwise, they can be fairly aggressive.[2]
"
蓝带准雀鲷,Pseudochromis cyanotaenia,蓝带拟雀鲷,鲈形目,雌性性两色的 dottyback 均匀灰色， 有时变成淡黄色或淡红的尾部之上.
日出龙,Pseudochromis flavivertex,黄顶拟雀鲷,鲈形目,"

Pseudochromis flavivertex, the sunrise dottyback, is a species of ray-finned fish from the Western Indian Ocean which is a member of the family Pseudochromidae.[1] It occasionally makes its way into the aquarium trade. It grows to a size of 7.2 -7.5 cm in length as male, and 6.5 cm as a female.[2] It eats various benthic worms and crustaceans.[2]



This Pseudochromidae-related article is a stub. You can help Wikipedia by expanding it."
蓝线,Pseudochromis springeri,斯氏拟雀鲷,鲈形目,"

Pseudochromis springeri, also known as blue-striped dottyback, is a popular saltwater aquarium fish from the red sea and eastern Indian Ocean. The specific name honours the American ichthyologist Victor G. Springer of the Smithsonian Institution.[1]

A small marine fish that reaches two inches in length. It is dark blue or black with blue stripes along its head and fins.

Pseudochromis springeri is a hardy member of a saltwater aquarium. As one of the few saltwater fish that can be bred in captivity. Use of tank bred individuals in aquariums is often encouraged to reduce the pressure on wild populations. Twenty gallons is typically quoted as the minimum tank size required to permanently house this fish, although it can be raised in as little as ten gallons with a risk of it harassing any other fish and invertebrates in its tank.

It is less aggressive than most dottybacks but will sometimes harass small, passive, fish and shrimp. It can be quite territorial meaning it is best to only keep one in an aquarium. If more than one is kept in an aquarium it is important that they are added at the same time.  Despite its hardy nature, it also must not be placed in an aquarium with larger predatory fish such as lion fish, and grouper which will often see it as a food source.
"
黄鲈,Diploprion bifasciatum,双带黄鲈,鲈形目,身体扁长形的， 它的宽度 3.3-4 分之一深度.  通常黄色， 但是有时几乎全黑而且稚鱼拟态当地有毒  Meiacanthus 黏鱼的颜色那是黄色或灰色的.
六线妞妞,Plectorhinchus lineatus,条纹胡椒鲷,鲈形目,唯一的迈克罗尼西亚的石鲈科鱼类有对角线的而不是水平的斑纹.  成鱼有能跑斜角的宽的黑色斑纹。  鳍黄色的有黑色的斑点。
双带石鲈,Plectorhinchus diagrammus,双带胡椒鲷,鲈形目,"

Plectorhinchus diagrammus, the striped sweetlips, fourbanded sweetlips or silver-banded sweetlips, is a species of marine ray-finned fish, a sweetlips belonging to the subfamily Plectorhinchinae, one of two subfamilies in the family Haemulidae, the grunts. It feeds on benthic invertebrates. This species can reach 40 cm (16 in) in TL.  It can be found in the aquarium trade and is farmed.[1][2] It is native to the eastern Indian Ocean and the western Pacific Ocean, from the Andaman Islands to the Philippines, north as far as Japan, where it is an inhabitant of coral reefs. This species was first formally described in 1758 by Linnaeus in the 10th edition of the Systema Naturae, he gave it the name Perca diagramma.[3] Its specific name diagrammus was not explained by Linnaeus but he cites Gronovius in his description who described “irregular longitudinal yellow lines”, so the name is inferred to  “a figure marked with lines”.[4]



This Perciformes article is a stub. You can help Wikipedia by expanding it."
美国立皇,Anisotremus virginicus,枝异孔石鲈,鲈形目,身体有斑纹的黄色与银蓝色; 鳍黄色，2条黑色的横带:  一个来自后颈经过眼睛到嘴， 另外一从背鳍起点到胸鳍基底。  只有在加勒比海的石鲈科鱼类有两个垂直的黑色横带与黄色的斑纹。  .
妞妞,Plectorhinchus albovittatus,白带胡椒鲷,鲈形目,稚鱼随着成长变成略微身体较宽而在一个 14-16 公分的大小， 释放下面的斑纹而且发育一个奶油色的腹面.  依据一个 10- 公分稚鱼是描述橘色的具有宽的黑色斑纹， 一沿着侧面中央与另一个沿着上侧面。  成鱼主要灰色的有黑色的鳍斑纹。  稚鱼有黄色的斑纹。
燕子花旦,Plectorhinchus chaetodonoides,斑胡椒鲷,鲈形目,稚鱼褐色的有大的白色斑块。  变成更多斑点的随着年龄， 彻底改变从白色到黑色的有斑点的在过程中。  较深的身体相较于了其他大部分的在本属中.
花头,Antennarius tuberosus,unk,副棘鳍总目,unk
秘鲁娃,Antennarius avalonis,unk,副棘鳍总目,unk
白娃娃,Antennarius sp,unk,副棘鳍总目,unk
花斑青蛙,Cynchiropus ocellatus,unk,喉鳍目,unk
蝠鳍蛙,Synchiropus ijimae,unk,喉鳍目,"

The Japanese dragonet (Neosynchiropus ijimae)[1] is a species of dragonet native to the northwestern Pacific Ocean, where it is known from the waters off of Japan and South Korea.[2] It can be found on coral or rocky reefs at depths of 10 to 20 metres (33 to 66 ft), in preferred water temperatures of 18 to 22 °C (64 to 72 °F).[2] It is also found in the aquarium trade.[2] This species reaches a length of 7 centimetres (2.8 in) SL and 10 centimetres (3.9 in) TL.[3]

This Callionymidae article is a stub. You can help Wikipedia by expanding it."
红纹, Cirripectes,unk,喉鳍目,"

Cirripectes is a large genus of combtooth blennies found throughout the Pacific and Indian oceans. Cirripectes biconvexus, an otolith based fossil species from the Burdigalian (Miocene) of southwestern India (Quilon Formation) is probably the earliest record of this genus.[2]

There are currently 24 recognized species in this genus:[3]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
黑头鳚,Lipophrys nigriceps,unk,喉鳍目,"

The black-headed blenny (Microlipophrys nigriceps) is a species of combtooth blenny found in the Mediterranean Sea. It can reach a maximum length of 4.3 centimetres (1.7 in) TL.  This species is also found in the aquarium trade.[2]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
透明刀,Solenostomus spp,unk,棘鳍总目,unk
彩刀,Solenostomus spp,unk,棘鳍总目,unk
彩点刀,Solenostomus sp,unk,棘鳍总目,unk
斑节龙,Doriorhamphus dactyliophorus,unk,棘鳍总目,unk
竹纹花尾龙,Corythoichthys flavofassiatus,unk,棘鳍总目,unk
多纹,Doriorhamphus multiannulatus,unk,棘鳍总目,unk
